Name,URL,Add.,Phone,Mobile,Email,Website,Contact Person,Purpose,Aims/Objectives/Mission,Error,Match_Status,Match_Confidence,Match_Evidence,AI_Verdict,AI_Reason
"A Ideal Children’s Care Organistion, New Delhi",https://ngosindia.org/delhi-ngos/a-ideal-childrens-care-organistion-new-delhi/,"E-617, Anand Niwas New Delhi Pin: 110034 Delhi",,91-92137 38317,aiccosuggestion@gmail.com,http://www.aicco.multiply.com,Gopal Swamy,Education,"To provide the education to the poor and needy children’s for this AICCO will construct a institute where these children can get education without any fee. Secondly AICCO want to work for women empowerment, development. We are concern to provide employment opportunity.",,unreachable,,ConnectionError,,
"A Noble Society of Helping Hands, Delhi",https://ngosindia.org/delhi-ngos/a-noble-society-of-helping-hands-delhi/,"E 368, Nirman Vihar Delhi Pin: 110092 Delhi",,91-99533 99334,ansh@in.com,,"Shalini Bhatia, Sanjai Kumar",Social service.,Our ngo wanted to help all who needs help in any field.,,no_website,,,,
"A Progressive Infotech Studies & Welfare Organisation, Delhi",https://ngosindia.org/delhi-ngos/a-progressive-infotech-studies-welfare-organisation-delhi/,"B-21, 10, Shiv Mandir Road Delhi Pin: 110042 Delhi",,91-99110 06230,vikasgarg27@hotmail.com,,Vikas Garg,Computer program.,Our aim is providing free computer education slums & finiacial problem students.,,no_website,,,,
"A Real Encourage, New Delhi",https://ngosindia.org/delhi-ngos/a-real-encourage-new-delhi/,,,86768 40626,a.real.encourage@outlook.com,www.arealencourage.org,Mahtab Ahmed,"Child Welfare, Education, Health, Library. Aim/Objective/Mission : To provide excellent quality education on the most modern lines. Emphasis would be on moral values, self-discipline and skills to face the dynamic challenges and opportunities of life with care, confidence & commitment. To provide libraries, publish books on educational, cultural and social subjects organize discussions & seminars to impart knowledge and understanding amongst the people. To open and run, educational and vocational schools or institutions to bring education within the reach of poor & backward children. To participate in enhancing quality health facilities in the whole country and spread awareness amongst people about the life threatening diseases like aids, cancer etc. By organizing camps and seminars.",,,unreachable,,ConnectionError,,
"A Way of Happiness Educational Society, New Delhi",https://ngosindia.org/delhi-ngos/a-way-of-happiness-educational-society-new-delhi/,,,70534 71730,awohesociety@gmail.com,www.awayofhappinessblog.wordpress.com,Himanshu Shukla,"Art and Culture, Education, Women’S Issues, Youth Aim/Objective/Mission : A way of happiness educational society, founded on 24th june 2016, is a not for profit non-governmental organisation, run by a group of members of the society. We are envisioning a society permeated with the spirit of brotherhood, in which its members help each other create a sustainable and harmonious environment, improving their lives through raised awareness of co-dependency and connectivity with their surroundings as well as globally. We believe that the youth are the future of any society and there should be no differences when it comes to being exposed to knowledge and information. This is why we are providing quality school syllabus related classes and extracurricular activities for all members of our society, mainly children and youth. In our work, we use non-formal education methods to bring the school closer to youngsters. Learning, after all, should be interactive and engaging, sparking curiosity and breeding a healthy relationship with attaining knowledge. This way we can ensure lifelong learning because of [...]",,,likely_match,100.0,"A Way of Happiness Educational Society – Education For All, Happiness For All",,
"Aaddinath Lakshya Education & Welfare Society, Delhi",https://ngosindia.org/delhi-ngos/aaddinath-lakshya-education-welfare-society-delhi/,,,98712 03472,sunilmax472@gmail.com,,Ravi Shankar Jha,"Adolescent Girls Welfare, Agriculture, Art And Culture, Forestry, Hiv/Aids, Mentally Handicapped Persons, Pollution. Aim/Objective/Mission : The aims and the objects of the society, for which the same is established, shall be as under to work for the educational upliftment of the rural and general public irrespective of caste, sex, creed and religion. To start, establish, run, take over or manage and maintain schools, with an object to provide sound pre-primary, primary, secondary and senior secondary education to children by seeking recognition and affiliation from the education departments and concerned govt. Authorities. To establish, promote, set up, run, maintain, assist, finance support and/ or aid to or help in the setting up and /or maintaining and /or running other institution for orphanages, handicapped widows, lunatic asylums for relief and /or help to the poor, old and infirm people and/ or destitute. To create sense of brotherhood, co-operation, mutual harmony, love and affection amongst the people and to help them in distress by taking up the matter with the authority concerned. To approach [...]",,,no_website,,,,
"AADHAAR, Delhi",https://ngosindia.org/delhi-ngos/aadhaar-delhi/,"44, Bharti Artist Colony New Delhi Pin: 110092 Delhi",,91-93135 60709,aadhaar@gmail.com,,Samira Awasthi,Designing and marketing the products of handloom weavers and rural crafts men and reviving the.,"To provide opportunities to traditional rural weavers, artists and craftsmen to increase their incomes and lift themselves out of morass of poverty.",,no_website,,,,
"Aagaz, Delhi",https://ngosindia.org/delhi-ngos/aagaz-delhi/,,,98187 07671,aagazgs@gmail.com,www.aaagaz.com,De.Chandrakanta K. Mathur,"Adolescent Girls Welfare, Advocacy On Social Issues, Awareness Generation, General – Social Welfare, Legal Awareness, Social Awareness, Women Development/Welfare, Women’S Issues, Youth. Aim/Objective/Mission : Working for the uplifts and empowerment of women and children. The basic aim of this ngo is to work towards creating educational, informative enviourment for the women and our new generation, spread of basic knowledge about all kind of rights so they could live their life in better way. This organization firmly belief that the role of women, their mental, educational development and social-economic status is the basis for shaping our future society. Thus there is dire necessity for social and economic empowerment of women. This organization strives to achieve its target through a three pronged strategy:- helping women improve their mental make up through psychological counseling (pre-marital & marital) and educate to them about their fundamental rights and duties in democratic society. Strive to uplift their social status by educating them about the significance of the girl-child and laws against female [...]",,,unreachable,,ConnectionError,,
"Aakaash Bharti Society, Delhi",https://ngosindia.org/delhi-ngos/aakaash-bharti-society-delhi/,"D-17,198, Sector-3, Rohini Delhi Pin: 110085 Delhi","91-11-32450837, 91-11-27513635",,aakaashbharti@gmail.com,,R.K.P. Bharti,F.H.I.C.,"Providing food, good health to the needy and poor people and save, protect and encourage people towards the Indian culture.",,no_website,,,,
"Aakar Foundation, New Delhi",https://ngosindia.org/delhi-ngos/aakar-foundation-new-delhi/,"D 100, 03-Apr New Delhi Pin: 110092 Delhi",91-11-65152261,,aakarindia@aol.in,http://www.aafa.in,Rishabh Chaturvedi,,,,likely_mismatch,13.8,(no title/meta found),,
